Journal,Publisher,COI
PLoS_Med,plos,0.24280155642023346
Front_Pediatr,frontiers,0.15880102040816327
PNAS,pnas,0.15324746673177878
jof,mdpi,0.14893617021276595
PLoS_Negl_Trop_Dis,plos,0.14828544949026876
Front_Neuroinform,frontiers,0.1405152224824356
toxins,mdpi,0.1198501872659176
Front_Neurol,frontiers,0.11518179295031918
Front_Integr_Neurosci,frontiers,0.11245674740484429
Front_Cardiovasc_Med,frontiers,0.11169284467713787
PLoS_Genet,plos,0.11149174711927748
PLoS_Pathog,plos,0.11138132295719845
Front_Med_(Lausanne),frontiers,0.1113573407202216
IJAD,hindawi,0.10852713178294573
Front_Endocrinol_(Lausanne),frontiers,0.10632274300094369
Front_Psychiatry,frontiers,0.10031347962382445
Front_Comput_Neurosci,frontiers,0.09615384615384616
SARCOMA,hindawi,0.09420289855072464
Front_Neural_Circuits,frontiers,0.09223300970873786
Front_Mol_Neurosci,frontiers,0.08944281524926687
Front_Chem,frontiers,0.08904374758033294
Front_Immunol,frontiers,0.08622271142909557
Front_Genet,frontiers,0.08471227463571253
Front_Surg,frontiers,0.0830860534124629
Front_Neuroanat,frontiers,0.08226950354609928
Front_Physiol,frontiers,0.08082094833687191
AU,hindawi,0.08
jpm,mdpi,0.07967032967032966
Front_Big_Data,frontiers,0.07964601769911504
Front_Neurorobot,frontiers,0.07823960880195599
Front_Hum_Neurosci,frontiers,0.07802400738688828
Front_Oncol,frontiers,0.07769028871391076
Front_Neurosci,frontiers,0.07750851191668336
Front_Synaptic_Neurosci,frontiers,0.07657657657657657
PLoS_Comput_Biol,plos,0.07296881016557566
Front_Behav_Neurosci,frontiers,0.07289293849658314
Front_Cell_Infect_Microbiol,frontiers,0.07254901960784314
Front_Bioeng_Biotechnol,frontiers,0.07196613358419568
Front_Microbiol,frontiers,0.0717756183745583
PLoS_Biol,plos,0.07125427037579307
Front_Cell_Neurosci,frontiers,0.07053941908713693
Front_Plant_Sci,frontiers,0.07049180327868852
Front_Robot_AI,frontiers,0.0688976377952756
Front_Syst_Neurosci,frontiers,0.06871794871794872
Front_Mol_Biosci,frontiers,0.06622516556291391
algorithms,mdpi,0.06593406593406594
diversity,mdpi,0.06569343065693431
Front_Pharmacol,frontiers,0.06476127540062779
universe,mdpi,0.06422018348623854
Front_Aging_Neurosci,frontiers,0.06374298827129016
Front_Vet_Sci,frontiers,0.05962607377463365
JNA,hindawi,0.056451612903225805
Front_Sociol,frontiers,0.05581395348837209
Front_Public_Health,frontiers,0.05533399800598205
Front_Sports_Act_Living,frontiers,0.05521472392638037
biomolecules,mdpi,0.05518394648829431
Front_Cell_Dev_Biol,frontiers,0.05456120092378753
Front_Nutr,frontiers,0.053201970443349754
BCA,hindawi,0.05263157894736842
pharmacy,mdpi,0.05263157894736842
molecules,mdpi,0.05137048466146306
PLoS_One,plos,0.05132894497972796
cells,mdpi,0.05130890052356021
children,mdpi,0.05128205128205128
IJBI,hindawi,0.05084745762711865
resources,mdpi,0.05
viruses,mdpi,0.04951560818083961
jfb,mdpi,0.04854368932038835
jcm,mdpi,0.04829721362229102
membranes,mdpi,0.04792332268370607
Front_Psychol,frontiers,0.04726220995201472
ART,hindawi,0.047244094488188976
metabolites,mdpi,0.04597701149425287
gels,mdpi,0.044642857142857144
cancers,mdpi,0.044424297370806894
remotesensing,mdpi,0.044329073482428115
inorganics,mdpi,0.043478260869565216
CMMM,hindawi,0.04314720812182741
crystals,mdpi,0.04245283018867924
Front_Artif_Intell,frontiers,0.04142011834319527
life,mdpi,0.0413625304136253
toxics,mdpi,0.0410958904109589
forests,mdpi,0.04086845466155811
agriculture,mdpi,0.04072398190045249
AAA,hindawi,0.04031800113571834
bioengineering,mdpi,0.040268456375838924
risks,mdpi,0.04
horticulturae,mdpi,0.03867403314917127
atmosphere,mdpi,0.038461538461538464
information,mdpi,0.03821656050955414
AHCI,hindawi,0.03816793893129771
Front_Digit_Health,frontiers,0.037383177570093455
sports,mdpi,0.037383177570093455
CCRP,hindawi,0.037037037037037035
AH,hindawi,0.036036036036036036
IDOG,hindawi,0.03571428571428571
genes,mdpi,0.03547066848567531
actuators,mdpi,0.035211267605633804
IPID,hindawi,0.034782608695652174
JOBE,hindawi,0.03435114503816794
CJGH,hindawi,0.034334763948497854
buildings,mdpi,0.03426791277258567
insects,mdpi,0.03231939163498099
axioms,mdpi,0.03225806451612903
animals,mdpi,0.03193430656934307
catalysts,mdpi,0.03156384505021521
futureinternet,mdpi,0.03125
fluids,mdpi,0.031088082901554404
nutrients,mdpi,0.03087586641461878
marinedrugs,mdpi,0.03065134099616858
6245494,ieee,0.03048780487804878
processes,mdpi,0.029304029304029304
PPAR,hindawi,0.029197080291970802
entropy,mdpi,0.02906350914962325
vaccines,mdpi,0.028716216216216218
brainsci,mdpi,0.028526148969889066
IJVM,hindawi,0.02830188679245283
JMB,hindawi,0.027522935779816515
IJFR,hindawi,0.0273972602739726
ijms,mdpi,0.027179383933964164
IJCB,hindawi,0.02654867256637168
cosmetics,mdpi,0.02631578947368421
pathogens,mdpi,0.025682182985553772
IJGE,hindawi,0.025
PD,hindawi,0.024922118380062305
symmetry,mdpi,0.02491103202846975
PM,hindawi,0.02459016393442623
micromachines,mdpi,0.024390243902439025
STNI,hindawi,0.02413793103448276
BN,hindawi,0.023923444976076555
TSWJ,hindawi,0.023290203327171903
aerospace,mdpi,0.023255813953488372
land,mdpi,0.023076923076923078
antibiotics,mdpi,0.02304964539007092
IJAP,hindawi,0.022969647251845776
IJCGT,hindawi,0.022900763358778626
ECAM,hindawi,0.022727272727272728
foods,mdpi,0.022701475595913734
IJO,hindawi,0.022058823529411766
microorganisms,mdpi,0.021994134897360705
JIR,hindawi,0.02185792349726776
medicina,mdpi,0.02168021680216802
JFS,hindawi,0.021645021645021644
diagnostics,mdpi,0.02155887230514096
AMETE,hindawi,0.021526418786692758
JAM,hindawi,0.02151983860121049
JAR,hindawi,0.021505376344086023
JT,hindawi,0.0211864406779661
education,mdpi,0.020289855072463767
JPR,hindawi,0.01984126984126984
dentistry,mdpi,0.019801980198019802
IJN,hindawi,0.019736842105263157
JTM,hindawi,0.0196078431372549
chemosensors,mdpi,0.019417475728155338
EDRI,hindawi,0.01937984496124031
geosciences,mdpi,0.019230769230769232
6287639,ieee,0.018787635487755923
AMP,hindawi,0.018612521150592216
antioxidants,mdpi,0.018518518518518517
minerals,mdpi,0.018272425249169437
IJD,hindawi,0.018229166666666668
religions,mdpi,0.018018018018018018
JECE,hindawi,0.01791044776119403
JS,hindawi,0.017902813299232736
polymers,mdpi,0.01752109020116807
sustainability,mdpi,0.017314095449500556
VMI,hindawi,0.01730103806228374
water,mdpi,0.017045454545454544
APH,hindawi,0.01680672268907563
MPE,hindawi,0.016716499048654524
biology,mdpi,0.01646090534979424
biomedicines,mdpi,0.01615798922800718
JDR,hindawi,0.015789473684210527
IJA,hindawi,0.01529051987767584
IJDE,hindawi,0.015267175572519083
GEOFLUIDS,hindawi,0.014893617021276596
pharmaceuticals,mdpi,0.014814814814814815
pharmaceutics,mdpi,0.014760147601476014
agronomy,mdpi,0.014686248331108143
DRT,hindawi,0.014492753623188406
SCI,hindawi,0.014476614699331848
JAT,hindawi,0.01417004048582996
CIN,hindawi,0.014144271570014143
JOPH,hindawi,0.014038876889848811
mathematics,mdpi,0.013725490196078431
CRP,hindawi,0.013651877133105802
OGI,hindawi,0.013452914798206279
jcs,mdpi,0.013071895424836602
fermentation,mdpi,0.013071895424836602
AHEP,hindawi,0.013011152416356878
ACE,hindawi,0.012993039443155453
energies,mdpi,0.012956964368347987
materials,mdpi,0.012874251497005988
AFS,hindawi,0.012658227848101266
SCN,hindawi,0.012522361359570662
applsci,mdpi,0.012271475081392437
JPS,hindawi,0.012244897959183673
BMRI,hindawi,0.012204424103737605
PSYCHE,hindawi,0.012195121951219513
plants,mdpi,0.012048192771084338
healthcare,mdpi,0.011884550084889643
DDNS,hindawi,0.011756061719324026
PRM,hindawi,0.011627906976744186
nanomaterials,mdpi,0.011552346570397111
JEPH,hindawi,0.01098901098901099
ACMP,hindawi,0.010452961672473868
JO,hindawi,0.010416666666666666
SCIENTIFICA,hindawi,0.0103359173126615
JNME,hindawi,0.010273972602739725
sensors,mdpi,0.010212308519215264
JNT,hindawi,0.009900990099009901
WCMC,hindawi,0.009345794392523364
PSYCHIATRY,hindawi,0.009259259259259259
IJE,hindawi,0.00922266139657444
APEC,hindawi,0.009009009009009009
COMPLEXITY,hindawi,0.008934707903780068
IJI,hindawi,0.008928571428571428
jmse,mdpi,0.008849557522123894
IJG,hindawi,0.008849557522123894
JNM,hindawi,0.00881057268722467
IJOTO,hindawi,0.008695652173913044
GRP,hindawi,0.008187134502923977
OMCL,hindawi,0.008138351983723296
ARP,hindawi,0.007936507936507936
coatings,mdpi,0.007736943907156673
jimaging,mdpi,0.007633587786259542
ijerph,mdpi,0.007582139848357203
JE,hindawi,0.00749063670411985
SV,hindawi,0.007470119521912351
economies,mdpi,0.007407407407407408
behavsci,mdpi,0.007352941176470588
ACISC,hindawi,0.007142857142857143
NP,hindawi,0.006993006993006993
JAMC,hindawi,0.006779661016949152
AESS,hindawi,0.00641025641025641
NRP,hindawi,0.006369426751592357
MI,hindawi,0.006357279084551812
IJMICRO,hindawi,0.006153846153846154
JP,hindawi,0.0058823529411764705
CRJ,hindawi,0.005714285714285714
machines,mdpi,0.005649717514124294
EMI,hindawi,0.0056179775280898875
ABB,hindawi,0.005376344086021506
IJAC,hindawi,0.005319148936170213
metals,mdpi,0.005230125523012552
IJP,hindawi,0.005076142131979695
ijgi,mdpi,0.005055611729019211
IJHY,hindawi,0.004975124378109453
DM,hindawi,0.004524886877828055
IJFS,hindawi,0.004464285714285714
JHE,hindawi,0.004405286343612335
IJPS,hindawi,0.004366812227074236
AMSE,hindawi,0.0042293233082706765
electronics,mdpi,0.004022526146419952
IJPEDI,hindawi,0.0036900369003690036
JCHEM,hindawi,0.0036429872495446266
JFQ,hindawi,0.0034482758620689655
JMATH,hindawi,0.003105590062111801
IJMMS,hindawi,0.0019569471624266144
ACP,hindawi,0.0
IJELC,hindawi,0.0
CJIDMM,hindawi,0.0
IJCE,hindawi,0.0
IJBM,hindawi,0.0
AOR,hindawi,0.0
APS,hindawi,0.0
socsci,mdpi,0.0
BRI,hindawi,0.0
IJAE,hindawi,0.0
IJR,hindawi,0.0
IJRM,hindawi,0.0
jrfm,mdpi,0.0
computers,mdpi,0.0
SP,hindawi,0.0
RERP,hindawi,0.0
OTI,hindawi,0.0
NRI,hindawi,0.0
MSE,hindawi,0.0
MISY,hindawi,0.0
JCNC,hindawi,0.0
JTR,hindawi,0.0
JSPEC,hindawi,0.0
JRE,hindawi,0.0
JR,hindawi,0.0
JPATH,hindawi,0.0
JCSE,hindawi,0.0
wevj,mdpi,0.0
